"体勢","たいせい","posture, stance"
"身内","みうち","relatives, one's family; friends, members of the same organization; followers, henchmen; one's whole body"
"立場","たちば","position, situation; viewpoint, standpoint, point of view"
"圧倒","あっとう","to overwhelm (e.g. an opponent), to overpower, to crush, to defeat completely; to overwhelm (someone with emotion), to move, to impress, to fill with emotion; to intimidate, to frighten, to threaten"
"土壇場","どたんば","last moment, eleventh hour; platform made of dirt used to perform executions (decapitations) in the Edo period"
"かわいそう","","poor, pitiable, pathetic, pitiful"
"棄権","きけん","abstention (from voting), renunciation (of a right), withdrawal (from a contest)"
"可憐","かれん","sweet (e.g. young girls, flowers blooming), touchingly lovely, cute; pitiful, pitiable"
"大型","おおがた","large, large-sized, large-scale, big"
"鋭い","するどい","sharp (blade), pointed; sharp (pain), stabbing, cutting (remark), stinging, pointed (question or look), screeching (noise); perceptive, keen, quick (mind), astute, shrewd, discerning; nimble, agile, quick"
"目線","めせん","one's gaze; point of view, standpoint"
"看過","かんか","overlooking, turning a blind eye"
"弟子","でし","pupil, disciple, adherent, follower, apprentice, young person, teacher's student-helper"
"塗りつぶす","ぬりつぶす","to paint over, to paint out"
"即答","そくとう","immediate reply"
"黒魔法","くろまほう","black magic"
"言霊","ことだま","mysterious power of words to alter reality"
"宿る","やどる","to dwell, to live, to remain; to stay at, to take shelter at, to stop at, to lodge at; to be pregnant; to be part of a constellation; to be a parasite (bugs, plants, etc.)"
"野郎","やろう","guy, fellow, chap, buddy; bastard, asshole, arsehole, son of a bitch"
"人ごみ","ひとごみ","crowd of people"
"駆け","かけ","canter, gallop"
"演る","やる","to perform, to play, to act"
"奪う","うばう","to snatch away, to dispossess, to steal"
"やり直す","やりなおす","to do over again, to redo, to start over, to remake, to resume, to recommence"
"問い","とい","question, query"
"哀れ","あわれ","pity, sorrow, grief, misery, compassion, pathos; pitiable, pitiful, pathetic, miserable; alack, alas"
"歪む","ゆがむ","to warp, to swerve, to deflect, to be crooked, to be distorted, to be bent, to incline, to slant, to be perverted, to be cross-grained, to get bent, to be strained"
"たまらない","","intolerable, unbearable, unendurable; irresistible, tremendous, out of this world; cannot help (doing), cannot but do, anxious to do"
"近づく","ちかづく","to approach, to draw near, to get close; to get acquainted with, to get closer to, to get to know"
"塞ぐ","ふさぐ","to stop up, to close up, to block (up), to plug up, to shut up, to cover (ears, eyes, etc.), to close (eyes, mouth); to stand in the way, to obstruct; to occupy, to fill up, to take up; to perform one's role, to do one's duty; to feel depressed, to be in low spirits, to mope"
"毒舌","どくぜつ","wicked tongue, abusive language"
"あっけ","","being taken aback, state of shock, dumbfoundedness"
"見開き","みひらき","(two-page) spread, two pages opposite each other"
"絞める","しめる","to strangle, to constrict"
"攻守","こうしゅ","offense and defense, offence and defence, batting and fielding"
"気迫","きはく","spirit, soul, drive, vigor, vigour"
"押さえる","おさえる","to pin down, to hold down, to press down; to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part); to get a hold of, to obtain, to seize, to catch, to arrest; to grasp (a point), to comprehend; to quell, to subdue, to suppress, to repress, to hold back, to check, to curb, to contain"
"亜空間","あくうかん","hyperspace, subspace"
"屁理屈","へりくつ","sophism, chop logic, far-fetched argument, quibble, cavil, argument for argument's sake"
"揺らぐ","ゆらぐ","to swing, to sway, to shake, to tremble; to waver, to feel shaken, to become unstable"
"頼り","たより","reliance, dependence"
"近寄る","ちかよる","to approach, to draw near"
"収拾","しゅうしゅう","control, bringing under control, settling (a matter), putting in order"
"突入","とつにゅう","rushing into, breaking into, storming; plunging into (war, etc.), embarking on (a new venture)"
"説得","せっとく","persuasion"
"一歩","いっぽ","(a) step; level, stage; small degree, small amount"
"抜き","ぬき","without, not including, dispensed with; (beating) in succession"
"置き去り","おきざり","leaving behind, desertion, abandonment"
"一瞬","いっしゅん","instant, moment, for an instant"
"勢い","いきおい","force, vigor, vigour, energy, spirit, life; influence, authority, power, might; impetus, momentum, course (of events); naturally, necessarily"
"罵り","ののしり","abuse, curse, swearing, insult"
