"黒塗り","くろぬり","blackened, black-painted, black-lacquered; blackened thing"
"羽目","はめ","panel, wainscoting, wainscotting; plight, fix, bind, awkward situation, difficult situation, mess"
"記憶","きおく","memory, recollection, remembrance; storage"
"泥酔","でいすい","being dead drunk, drunken stupor"
"針","はり","needle, pin; hook; stinger, thorn; hand (e.g. clock, etc.), pointer; staple (for a stapler); needlework, sewing; malice; counter for stitches"
"景気","けいき","business conditions, the market, economic activity, economic climate; good (economic) times, prosperity, boom; liveliness, energy, vigour, vigor, spirit"
"垣根","かきね","hedge, fence"
"石柱","せきちゅう","stone pillar"
"僥倖","ぎょうこう","fortuitous, luck, windfall, godsend, good fortune"
"覚ます","さます","to awaken, to arouse from sleep; to bring to one's senses, to disabuse (someone of); to sober up; to dampen, to throw a damper on, to spoil"
"檻","おり","cage, pen, jail cell, gaol cell"
"叩き","たたき","mince (minced meat or fish); seared skipjack tuna; robbery, extortion; hard-packed dirt (clay, gravel, etc.) floor, concrete floor; whipping, lashing, bashing, beating, flaming"
"白み","しろみ","whiteness"
"主演","しゅえん","starring, playing the leading part"
"戦車","せんしゃ","tank (military vehicle); chariot"
"かかと","","heel (of foot, shoe, stocking, etc.)"
"吸い殻","すいがら","cigarette end, cigarette butt, tobacco ashes"
"半ダース","はんダース","half-dozen, half-a-dozen"
"砂浜","すなはま","sandy beach"
"堤防","ていぼう","bank, weir, embankment, levee"
"一種異様","いっしゅいよう","eccentric, queer, unconventional, peculiar, bizarre, strange, odd"
"生命力","せいめいりょく","vitality, (one's) life force"
"補修","ほしゅう","repair, mending"
"金利","きんり","interest rate, interest"
"恐ろしい","おそろしい","terrible, dreadful, terrifying, frightening; surprising, startling, tremendous, amazing"
"活字","かつじ","printing type, movable type; printed text, print"
"蠅","","fly"
"物珍しい","ものめずらしい","curious"
"再放送","さいほうそう","rebroadcasting, rerun"
"切羽詰まる","せっぱつまる","to be at one's wits' end, to be cornered, to be packed to the hilt"
"不治","ふじ","incurability"
"冒す","おかす","to brave, to risk, to face, to venture; to harm, to afflict, to affect; to desecrate, to profane; to assume (someone else's surname), to take"
"避暑","ひしょ","escaping the summer heat, going somewhere cooler during the summer, summering"
"避暑地","ひしょち","place that is cool in the summer, place one goes to escape the heat of summer, summer retreat"
"反吐","へど","vomit, vomiting"
"指先","ゆびさき","fingertip, finger; toe tip, toe"
"太平洋","たいへいよう","Pacific Ocean"
"浮き輪","うきわ","swim ring, (rubber) swimming ring, life buoy, life belt, float"
"漂う","ただよう","to drift, to float; to waft (e.g. a scent), to hang in the air; to be in the air (e.g. a feeling or mood); to wander, to walk around aimlessly; to be unsteady, to be unstable; to falter, to flinch, to wince; to live in unreliable circumstances"
"世間話","せけんばなし","gossip, chat"
"めぐり合う","めぐりあう","to meet fortuitously (e.g. running into an old friend), to meet by chance, to happen across"
"酢漬け","すづけ","pickling, pickles"
"あじ","","horse mackerel (Carangidae spp., esp. the Japanese horse mackerel, Trachurus japonicus), jack mackerel, pompano, scad"
"一塁","いちるい","first base; first baseman; one fort"
"脇に置く","わきにおく","to lay aside, to set aside"
"繰る","くる","to reel, to wind, to spin (thread); to turn (pages), to flip through (a book), to leaf through (a book), to consult (a dictionary), to refer to (an encyclopedia); to count (e.g. the days); to open one-by-one, to close one-by-one (e.g. shutters)"
"追い込む","おいこむ","to herd, to corner, to drive"
"でもある","","to also be (implies that as well as the earlier stated this is also the case); to be ... or something"
"きたす","","to cause, to induce, to bring about a result or state, to produce"
"来し方","きしかた","the past"
"行く末","ゆくすえ","one's future, one's fate; one's way, one's path"
"たどり着く","たどりつく","to arrive at (after a struggle), to finally reach, to find one's way to, to finally hit on (e.g. an idea)"
"放る","ほうる","to throw, to fling, to hurl, to toss; to neglect, to abandon, to leave alone, to give up on, to leave undone, to leave unfinished"
"唸る","うなる","to groan, to moan; to roar, to howl, to growl; to hum (engine, wind, etc.), to buzz, to whiz, to sough, to make a low, dull sound; to ooh and aah (in admiration); to sing in a strong, low voice (esp. traditional chant or recitation); to be about to burst, to overflow"
"上唇","じょうしん","upper lip"
"下唇","したくちびる","lower lip"
"舐める","なめる","to lick; to taste; to experience (esp. a hardship); to make fun of, to make light of, to put down, to treat with contempt, to underestimate"
"もぎ取る","もぎとる","to pluck off (esp. by twisting), to pick, to break off, to tear off; to wrest (away from), to wrench free, to snatch (away)"
"無性","むせい","asexual"
"不公平","ふこうへい","unfairness, injustice, partiality"
"精神科医","せいしんかい","psychiatrist"
"高台","たかだい","elevation, high ground"
"応接室","おうせつしつ","drawing room, parlour, parlor; reception office"
"膝","","knee, lap"
"切り","きり","end, finish, stop; bounds, limits; delivery date (of a futures contract); finale (of a noh song), end of an act (in jōruri or kabuki), final performance of the day (in vaudeville); counter for slices (esp. thick slices), counter for cuts (e.g. fish, meat); only, just; since, after; remaining (in a particular state)"
"向かい合う","むかいあう","to be opposite, to face each other"
"臆病","おくびょう","cowardly, timid, easily frightened"
"やぎ","","goat"
"金時計","きんどけい","gold watch"
"やたら","","indiscriminately, blindly, at random, recklessly, thoughtlessly, excessively, profusely; indiscriminate, random, excessive"
"兎","","rabbit, hare"
"ぶら下げる","ぶらさげる","to hang, to suspend, to dangle, to swing, to carry"
"騙す","だます","to trick, to cheat, to deceive; to coax, to wheedle, to soothe and humor (humour)"
"警告","けいこく","warning, advice"
